"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"Roslindale","Boston","MA","Boston","Suffolk",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2200,2400,2404,2462.5,2450,2450,2400,2400,2400,2350,2360
"Summerlin South","Las Vegas","NV","Las Vegas","Clark",114,,,,,,,,,,,,,,1567.5,1595,1500,1567.5,1595,1600,1600,1500,1400,1400,1495,1495,1500,1500,1500,1450,1450,1395,1497.5,1450,1497.5,1425,1495,1497.5,1495,1495,1525,1500,1572.5,1495,1500,1550,1550,1595,1595,1550,1500,1500,1550,1520,1550,1550,1600,1650,1500,1492.5,1500,1697.5,1672.5,1775,1650,1600,1600,1562.5,1600,1600,1700,1672.5,1697.5,1772.5,1600,1650,1500,1565,1650,1500,1695,1597.5,1667.5,1700,1700,1712.5,1797.5,1700,1750,1699.5,1695,1700,1750
"Glendale","New York","NY","New York","Queens",115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2200,2200,2050,2050,2195,2195,2150,2200,2100,1995,2100,2100,2200,2225,2325,2250,2322.5,2250,2200,2100,2100,2210,2250,2200,2200,2200,2300,2200,2299,2297,2300,2250,2250,2200
"Prospect Lefferts Gardens","New York","NY","New York","Kings",116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2499,2499,2500,2400,2449.5,2350,2200,2200,2245,2240,2399,2499,2300,2300,2200,2400,2400,2350,2599.5,2699,2800,2600,2600,2800,2999.5,2750,2700,2800,2550,2595,2600,2600,2600,2495,2460,2525,2650,2750,2800,2850,2850,2700,2822.5,2658,2638.5,2759.5,2769.5,2875,2900,2899,2997,3000,2915,2750
"Middle Village","New York","NY","New York","Queens",117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2399,2325,2350,2300,2250,2250,2200,2250,2300,2500,2300,2300,2300
"Mears Corner","Virginia Beach","VA","Virginia Beach","Virginia Beach City",118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422.5,1415,1450,1425,1462.5,1495,1460,1495,1425,1400,1412.5,1447.5
"Bronzeville","Chicago","IL","Chicago","Cook",119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1550,1500,1522.5,1400,1500,1400,1437.5,1500,1500,1600,1650,1550,1500,1692.5,1600,1557.5
"Hollywood Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,8500,8075,8750,8500,8825,9000,8998.5,8750,8600,8600,8999.5
"Fort Hamilton","New York","NY","New York","Kings",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525,2500,2500,2400,2400,2300,2425,2500,2300,2500,2500,2600,2700,2687.5,2500,2600,2700,2600,2600,2500,2500,2500,2650,2750,2500,2675,2700,2697,2500,2500,2500,2400,2425,2500,2700,2625,2650,2625,2500,2400
"South End","Boston","MA","Boston","Suffolk",122,,,,,,,,,,,,,,,,,,,,,,2950,3200,3295,3100,3100,3200,3200,3550,3325,3450,3300,3200,3200,3300,3300,3595,3500,3703.5,3750,3750,3650,3300,3707,3450,3600,3500,3500,3590,3595,3600,3600,3500,3500,3500,3500,3500,3600,3800,3850,3900,3950,3900,4000,3962.5,3950,3850,3950,3800,3837.5,4000,4000,4000,3900,3900,3950,3800,3900,4200,3600,3600,4000,4000,4100,4100,4100,4150,4100,3925,3900,4000,4000
"Clinton","New York","NY","New York","New York",123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4925,4900,4675,4747.5,4525,4500,4495,4494,4497.5,4700,5450,5450,4950,4950,4400,4447.5,4497.5,4950,5147.5,5100,4750,4995,4925,5000,5000,4995,4995,4776,5095,4995,4755
"Neartown - Montrose","Houston","TX","Houston","Harris",124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3250,3125,3200,3300,2850,3050,3000,3100,2950,3200,3250,3250,3500,3400,3425,3295,2895,2900,2825,3175,3200,3200,3350,3395,2875,2975,3250,2972.5,3225,2825,3000,3000,3100,3050,3170,3200,3200,3047.5,3200,3097,3000
"The Lakes","Las Vegas","NV","Las Vegas","Clark",125,,,,,,,,,,,,,,,,,1372.5,1350,1362.5,1400,1350,1200,1297.5,1297.5,1295,1350,1300,1300,1295,1300,1300,1300,1325,1372.5,1300,1295,1295,1372.5,1300,1312.5,1295,1300,1300,1250,1299.5,1337.5,1350,1350,1350,1450,1400,1500,1425,1400,1400,1395,1350,1350,1395,1587,1495,1500,1462,1456,1456,1395,1395,1400,1400,1400,1377,1350,1350,1350,1460,1395,1475,1495,1450,1454.5,1397.5,1500,1522.5,1595,1500,1495,1500,1587.5,1512.5,1600,1500,1419
"La Jolla","San Diego","CA","San Diego","San Diego",126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,4600,5000,5000,5500,5300,5000,5000,5147.5,5000,5000,5500,5000,5500
"Brighton Beach","New York","NY","New York","Kings",127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,2450,2450,2450,2825,2800,2700,2700,2700,2750,3200,3200,3200,3150
"Auburndale","New York","NY","New York","Queens",128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2375,2450,2350,2400,2400,2400,2400,2400,2475,2500,2525,2500
"North Dorchester","Boston","MA","Boston","Suffolk",129,,,,,,,,,,,,,,,,,,,,,,,,,1750,1800,1800,1850,2050,2000,1900,1900,1800,1737.5,1825,1990,2025,2200,2100,2100,2325,2250,2100,2100,2100,2100,2175,2250,2300,2300,2300,2250,2200,2150,2100,2100,2000,2000,2200,2250,2375,2400,2400,2325,2400,2300,2200,2250,2250,2475,2495,2475,2400,2500,2400,2500,2400,2375,2400,2400,2400,2487.5,2500,2500,2550,2550,2550,2550,2550,2500,2500,2500
